soil,temp,humidity,watering
86,18.0,55,0
36,21.0,33,1
91,35.0,89,0
16,30.9,24,1
8,17.5,49,1
69,31.3,91,0
30,34.3,89,1
58,21.0,95,0
40,36.9,20,1
25,33.8,63,1
40,19.2,63,0
18,17.5,32,1
50,37.9,53,0
10,34.7,88,1
20,41.3,68,1
15,29.9,66,1
78,20.2,28,0
10,32.9,57,1
15,38.1,32,1
53,22.5,66,0
25,25.0,46,1
90,22.2,29,0
82,32.1,88,0
36,19.4,68,0
39,41.7,91,1
33,33.5,27,1
34,37.2,60,1
56,22.2,47,0
77,38.7,60,0
32,32.7,70,1
87,27.4,53,0
22,21.7,91,1
73,22.1,94,0
59,39.2,71,0
51,20.9,37,0
70,28.3,26,0
19,19.1,40,1
92,26.4,28,0
54,25.3,79,0
72,21.8,90,0
6,33.4,34,1
92,38.9,54,0
87,24.2,57,0
60,19.3,20,0
38,41.2,42,1
69,39.6,58,0
86,28.7,45,0
24,25.1,40,1
74,40.7,87,0
5,31.2,82,1
7,18.0,66,1
44,21.5,50,0
77,40.6,30,0
67,37.0,88,0
21,18.5,80,1
75,19.5,87,0
82,26.4,47,0
74,35.4,45,0
44,25.8,67,0
61,39.3,77,0
20,21.7,28,1
48,15.6,90,0
34,30.9,20,1
14,34.1,27,1
34,16.8,24,1
47,16.9,50,0
40,33.1,47,1
74,18.6,93,0
78,27.8,80,0
57,20.1,32,0
89,26.6,74,0
57,27.6,26,0
91,32.6,32,0
12,25.9,63,1
18,21.7,44,1
73,27.1,74,0
28,22.5,51,1
14,27.0,90,1
17,16.4,89,1
6,41.2,50,1
26,26.0,81,1
32,38.3,27,1
26,25.2,69,1
38,40.0,78,1
41,26.4,91,0
89,34.4,39,0
29,23.0,27,1
79,34.9,27,0
45,16.5,94,0
66,28.6,87,0
25,16.5,85,1
15,38.0,28,1
81,16.8,50,0
56,18.2,92,0
36,30.6,25,1
84,17.2,94,0
77,29.1,53,0
31,33.1,60,1
35,22.2,36,1
90,32.4,78,0
45,40.1,29,1
6,27.4,92,1
17,17.0,47,1
69,22.2,64,0
13,38.7,67,1
41,19.3,89,0
95,23.2,87,0
6,33.0,90,1
43,40.2,33,1
22,22.1,33,1
75,19.2,56,0
82,20.7,63,0
31,33.6,53,1
69,28.2,26,0
16,32.1,55,1
10,15.1,36,1
86,41.5,40,0
61,29.9,74,0
76,15.3,29,0
93,39.4,89,0
9,37.5,94,1
75,19.0,36,0
10,23.3,25,1
50,20.7,51,0
90,17.8,91,0
57,41.3,39,0
35,38.3,42,1
57,15.7,62,0
57,36.7,51,0
39,19.3,33,1
53,38.5,80,0
33,20.4,78,1
49,23.2,49,0
33,15.6,44,1
56,23.9,28,0
40,24.5,85,0
56,33.3,88,0
47,40.4,34,1
38,19.8,53,0
9,17.9,75,1
49,34.7,60,0
60,31.4,85,0
19,25.4,93,1
29,21.9,75,1
5,29.0,88,1
92,34.4,45,0
51,26.6,62,0
84,23.5,35,0
43,28.7,72,0
46,25.9,57,0
75,18.4,73,0
90,40.4,42,0
83,30.4,71,0
75,37.5,58,0
41,20.7,94,0
82,32.7,79,0
61,26.9,47,0
70,27.8,41,0
89,17.3,85,0
89,32.1,62,0
16,37.1,50,1
91,23.4,45,0
23,15.7,51,1
65,31.5,29,0
63,26.2,93,0
29,34.4,69,1
68,25.8,38,0
88,33.6,33,0
59,20.9,86,0
64,16.4,51,0
20,27.3,79,1
90,29.3,91,0
81,23.6,76,0
83,37.0,84,0
59,37.4,90,0
62,39.2,80,0
62,22.0,51,0
86,22.5,86,0
67,31.9,55,0
61,17.1,56,0
35,22.3,60,0
74,17.2,39,0
34,25.3,39,1
95,20.8,73,0
57,23.9,79,0
58,16.7,73,0
54,39.4,94,0
94,15.5,93,0
53,27.9,65,0
43,35.3,73,1
73,35.2,89,0
82,39.2,82,0
33,22.4,82,1
8,25.5,71,1
26,37.7,36,1
84,29.4,70,0
80,30.2,23,0
15,32.4,37,1
64,19.9,53,0
53,23.8,78,0
46,24.1,68,0
40,35.3,73,1
37,37.5,80,1
7,35.2,26,1
49,21.1,28,1
88,16.1,23,0
36,20.4,22,1
84,19.1,36,0
65,33.1,92,0
32,27.6,52,1
52,19.5,34,0
25,41.0,33,1
79,15.7,59,0
78,33.3,68,0
55,40.4,45,0
14,31.0,51,1
18,33.8,58,1
92,31.2,35,0
77,36.1,64,0
73,26.6,67,0
13,28.7,63,1
6,37.9,82,1
18,26.7,66,1
86,39.1,78,0
95,19.1,42,0
71,41.1,54,0
83,36.8,88,0
66,27.6,95,0
39,23.7,51,0
16,22.5,77,1
36,35.3,92,1
83,33.0,63,0
8,28.3,61,1
28,28.2,65,1
38,24.2,55,0
76,15.3,44,0
15,21.5,72,1
67,30.0,50,0
93,27.9,82,0
62,36.4,31,0
42,21.0,51,0
44,32.9,67,1
65,29.9,64,0
59,41.9,90,0
47,24.5,78,0
39,23.3,49,0
20,34.5,60,1
20,35.1,43,1
29,20.8,81,1
40,34.6,87,1
81,22.6,32,0
29,23.0,66,1
27,23.2,88,1
21,22.4,26,1
75,22.9,36,0
86,38.4,82,0
18,38.6,93,1
41,27.7,76,0
48,20.0,26,1
37,40.4,81,1
19,37.2,71,1
67,17.0,26,0
24,19.0,92,1
43,17.3,51,0
20,30.1,73,1
82,31.1,48,0
71,25.3,76,0
43,38.2,74,1
44,30.4,27,1
83,40.9,32,0
31,31.9,53,1
89,17.2,50,0
27,29.9,40,1
5,26.0,80,1
42,15.9,56,0
95,22.6,78,0
14,33.6,53,1
85,30.9,45,0
59,18.1,48,0
87,19.0,54,0
23,16.9,41,1
44,31.1,92,1
41,26.9,79,0
93,23.2,71,0
39,28.5,83,0
61,17.2,25,0
60,34.8,52,0
8,17.5,93,1
80,40.7,54,0
78,16.1,42,0
65,29.0,76,0
40,19.9,94,0
60,32.1,82,0
16,27.7,72,1
47,23.7,33,1
25,23.9,83,1
41,32.9,71,1
75,16.0,31,0
45,21.8,34,1
56,38.4,20,0
89,38.5,79,0
57,16.5,86,0
51,31.8,83,0
85,26.9,26,0
31,22.2,36,1
41,26.8,82,0
20,15.8,50,1
95,19.3,90,0
6,29.9,31,1
33,41.8,34,1
64,40.6,39,0
68,40.2,57,0
70,34.0,73,0
66,41.5,51,0
63,29.9,69,0
29,39.9,85,1
22,38.3,55,1
58,24.2,84,0
39,37.2,56,1
43,37.6,94,1
89,28.2,39,0
62,29.5,64,0
47,29.9,89,0
53,27.3,61,0
29,41.5,50,1
78,25.3,72,0
10,23.6,80,1
95,39.7,68,0
54,41.7,39,0
68,41.1,36,0
69,41.1,62,0
17,38.6,76,1
17,29.2,78,1
6,34.5,72,1
88,41.2,29,0
65,36.1,53,0
48,31.8,70,0
88,17.2,62,0
91,38.2,68,0
45,31.9,82,0
74,16.0,28,0
35,32.0,56,1
34,35.2,75,1
17,35.5,32,1
61,19.5,58,0
8,16.2,27,1
42,24.7,75,0
23,21.6,72,1
77,33.4,43,0
26,19.7,68,1
84,33.4,83,0
79,18.9,79,0
86,21.9,52,0
90,15.3,79,0
41,33.3,40,1
14,26.9,64,1
80,23.1,74,0
93,21.8,58,0
30,42.0,81,1
18,21.4,93,1
50,30.5,57,0
7,41.4,70,1
40,15.2,26,1
82,35.1,56,0
34,31.4,65,1
33,32.2,52,1
91,35.4,37,0
85,17.6,25,0
44,36.3,24,1
79,24.9,36,0
16,39.6,61,1
58,19.7,36,0
74,38.7,66,0
72,28.5,54,0
26,21.9,81,1
42,35.2,63,1
19,27.6,29,1
23,35.4,48,1
91,34.6,70,0
76,24.9,70,0
6,22.1,35,1
63,25.0,53,0
79,25.3,67,0
18,33.2,80,1
8,31.7,91,1
46,39.7,48,0
87,16.7,79,0
94,23.2,72,0
19,18.8,24,1
43,41.9,34,1
17,21.3,88,1
22,25.5,67,1
90,40.6,89,0
58,30.9,39,0
58,32.7,82,0
83,26.0,55,0
9,33.6,47,1
61,27.0,50,0
51,17.7,67,0
74,39.3,65,0
12,25.7,44,1
20,40.6,78,1
16,32.9,22,1
11,36.2,51,1
21,36.2,46,1
13,37.4,90,1
31,30.8,49,1
47,35.9,20,1
40,38.2,38,1
21,29.6,42,1
19,32.8,23,1
21,15.4,50,1
80,23.7,42,0
38,16.4,73,0
72,18.1,28,0
65,27.1,66,0
70,31.0,77,0
69,21.0,25,0
89,29.1,78,0
87,41.0,27,0
66,37.9,74,0
92,17.9,76,0
14,39.3,61,1
82,19.0,36,0
40,31.9,94,1
75,34.2,68,0
81,29.3,78,0
69,31.3,32,0
94,18.1,90,0
32,26.6,49,1
57,24.2,78,0
56,26.2,32,0
45,26.5,52,0
52,40.7,80,0
13,17.5,30,1
16,26.7,67,1
21,30.0,95,1
76,30.2,35,0
57,24.5,74,0
11,41.1,59,1
50,17.8,84,0
32,19.2,81,1
33,37.9,64,1
76,24.9,55,0
78,21.1,74,0
76,41.3,91,0
8,31.4,54,1
8,19.9,59,1
48,24.5,43,0
23,30.3,71,1
13,18.8,23,1
16,35.1,47,1
53,26.3,63,0
25,25.0,61,1
77,31.1,26,0
24,19.3,26,1
91,17.2,76,0
89,26.4,76,0
58,22.4,85,0
19,24.3,34,1
41,33.3,95,1
67,29.2,59,0
10,21.0,27,1
5,20.5,47,1
22,35.6,57,1
46,18.2,83,0
60,19.7,68,0
73,34.0,84,0
76,37.5,65,0
14,25.7,25,1
60,15.5,29,0
45,30.5,93,0
56,34.2,73,0
42,18.1,22,1
46,19.6,78,0
93,39.8,31,0
60,37.8,51,0
60,30.9,87,0
15,25.7,59,1
48,21.0,41,0
14,28.8,34,1
72,28.8,64,0
49,34.6,38,1
35,17.8,52,0
30,19.7,39,1
88,17.0,83,0
64,35.4,94,0
62,33.4,92,0
87,32.2,61,0
85,23.5,76,0
13,27.7,58,1
40,31.0,65,1
69,17.0,79,0
62,16.0,67,0
41,17.1,31,1
83,31.0,69,0
64,30.7,25,0
62,39.5,93,0
88,20.1,80,0
69,19.1,27,0
62,17.8,63,0
15,28.6,42,1
10,21.7,76,1
61,29.1,40,0
51,25.1,56,0
54,26.0,63,0
91,31.1,62,0
13,23.9,91,1
91,25.4,52,0
89,41.0,39,0
47,17.2,38,1
49,23.4,70,0
21,31.1,30,1
44,30.1,62,1
21,33.1,87,1
16,32.4,74,1
70,24.8,66,0
44,19.9,47,0
48,40.6,82,0
29,21.1,37,1
24,17.1,32,1
69,35.8,87,0
9,32.9,36,1
81,25.2,40,0
28,37.4,41,1
61,16.2,66,0
91,34.4,76,0
83,22.7,77,0
34,29.4,59,1
65,39.4,44,0
52,33.3,93,0
61,27.5,56,0
53,28.6,73,0
25,37.1,37,1
37,16.4,81,0
52,30.0,33,0
71,38.0,56,0
15,35.6,54,1
62,39.4,38,0
60,17.5,48,0
62,38.9,23,0
58,16.4,84,0
52,21.4,30,0
52,21.1,60,0
17,37.7,62,1
23,18.7,56,1
65,33.8,37,0
95,27.7,20,0
15,15.5,47,1
24,29.8,87,1
59,18.0,56,0
35,23.1,26,1
35,26.3,78,0
13,18.0,83,1
81,29.5,85,0
78,21.5,38,0
42,26.6,65,0
35,30.4,43,1
90,33.0,87,0
51,16.8,87,0
74,28.7,84,0
75,15.5,80,0
10,32.2,67,1
37,35.2,65,1
13,24.3,33,1
79,34.9,62,0
22,16.2,89,1
48,37.0,42,0
92,27.5,81,0
85,19.9,37,0
13,34.3,78,1
9,22.9,25,1
30,38.9,60,1
44,28.9,89,0
65,21.8,44,0
41,24.6,26,1
88,24.0,35,0
52,26.8,71,0
61,39.2,69,0
48,41.3,83,0
93,28.4,86,0
39,36.6,74,1
15,26.6,43,1
74,22.9,33,0
15,23.9,57,1
44,27.0,74,0
26,33.6,64,1
62,16.1,65,0
83,42.0,55,0
86,41.5,27,0
14,33.1,71,1
51,28.9,40,0
8,18.9,76,1
9,18.4,50,1
87,24.9,69,0
77,15.9,39,0
91,27.1,67,0
52,27.0,29,0
78,18.7,66,0
55,23.5,55,0
36,40.9,23,1
28,28.5,69,1
76,18.2,53,0
95,27.0,56,0
93,39.7,82,0
30,18.3,29,1
62,19.7,76,0
16,36.9,60,1
90,24.4,28,0
75,29.6,58,0
25,34.2,42,1
51,28.7,35,0
30,36.4,50,1
68,15.7,90,0
78,25.0,90,0
21,31.5,31,1
13,23.4,81,1
72,26.1,72,0
78,17.0,60,0
87,17.0,79,0
92,29.0,36,0
75,32.3,43,0
21,26.7,27,1
20,29.0,58,1
26,19.4,48,1
49,40.6,86,0
41,37.8,52,1
30,32.1,90,1
40,18.4,58,0
83,29.4,84,0
87,19.6,94,0
24,19.6,63,1
77,16.1,23,0
15,16.2,93,1
38,32.6,93,1
58,31.7,23,0
68,39.0,89,0
42,32.3,58,1
66,21.6,71,0
43,27.2,27,1
25,26.9,81,1
64,20.5,38,0
45,38.3,60,0
49,41.3,36,1
52,28.9,33,0
45,21.5,35,1
39,27.1,38,1
17,16.4,69,1
83,26.3,40,0
46,40.2,60,0
29,35.6,83,1
70,27.6,59,0
68,15.6,70,0
69,27.3,50,0
32,30.8,26,1
11,22.6,80,1
41,29.5,33,1
60,18.6,53,0
51,35.6,66,0
10,25.8,92,1
76,20.3,90,0
41,17.0,84,0
62,35.6,55,0
84,33.4,35,0
21,41.3,70,1
52,36.5,63,0
76,40.4,38,0
30,31.3,71,1
69,16.1,24,0
